trial_id,sample_date,sample_time,station_code,flows,mark_recap_id,mark_code,fork_length,count,dead
32,1999-08-12,08:49:00,gate 11,9174,{0000009C-0000-0000-0000000000000000},BSDO,63,1,FALSE
32,1999-08-12,08:49:00,gate 11,9174,{0000009C-0000-0000-0000000000000000},BSDO,63,1,FALSE
32,1999-08-14,08:42:00,gate 11,8695,{0000011D-0000-0000-0000000000000000},B,78,1,FALSE
32,1999-08-14,08:42:00,gate 11,8695,{0000011D-0000-0000-0000000000000000},B,78,1,FALSE
33,1999-08-17,08:36:00,gate 11,8341,{0000011D-0000-0000-0000000000000000},B,102,1,FALSE
33,1999-08-17,08:36:00,gate 11,8341,{0000011D-0000-0000-0000000000000000},B,102,1,FALSE
33,1999-08-17,08:41:00,gate 11,8341,{00000115-0000-0000-0000000000000000},B,51,1,FALSE
33,1999-08-17,08:41:00,gate 11,8341,{00000115-0000-0000-0000000000000000},B,51,1,FALSE
216,2000-03-22,18:35:00,gate 11,13082,{00000115-0000-0000-0000000000000000},B,57,1,FALSE
216,2000-03-22,18:35:00,gate 11,13082,{00000115-0000-0000-0000000000000000},B,57,1,FALSE
216,2000-03-23,06:31:00,gate 11,13876,{00000115-0000-0000-0000000000000000},B,58,1,FALSE
216,2000-03-23,06:31:00,gate 11,13876,{00000115-0000-0000-0000000000000000},B,58,1,FALSE
217,2000-03-23,06:31:00,gate 11,13876,{00000115-0000-0000-0000000000000000},B,59,2,FALSE
217,2000-03-23,06:31:00,gate 11,13876,{00000115-0000-0000-0000000000000000},B,59,2,FALSE
217,2000-03-23,18:30:00,gate 11,13876,{00000115-0000-0000-0000000000000000},B,61,1,FALSE
217,2000-03-23,18:30:00,gate 11,13876,{00000115-0000-0000-0000000000000000},B,61,1,FALSE
218,2000-03-28,18:42:00,gate 11,9997,{000000D7-0000-0000-0000000000000000},BSDG,54,1,FALSE
218,2000-03-28,18:42:00,gate 11,9997,{000000D7-0000-0000-0000000000000000},BSDG,54,1,FALSE
218,2000-03-29,06:49:00,gate 11,10054,{000000D7-0000-0000-0000000000000000},BSDG,57,2,FALSE
218,2000-03-29,06:49:00,gate 11,10054,{000000D7-0000-0000-0000000000000000},BSDG,57,2,FALSE
219,2000-03-29,06:49:00,gate 11,10054,{000000D7-0000-0000-0000000000000000},BSDG,58,2,FALSE
219,2000-03-29,06:49:00,gate 11,10054,{000000D7-0000-0000-0000000000000000},BSDG,58,2,FALSE
219,2000-04-02,09:21:00,gate 11,8958,{000000D7-0000-0000-0000000000000000},BSDG,59,1,FALSE
219,2000-04-02,09:21:00,gate 11,8958,{000000D7-0000-0000-0000000000000000},BSDG,59,1,FALSE
201,1998-03-10,09:25:00,gate 2,22039,{000000D7-0000-0000-0000000000000000},BSDG,60,2,FALSE
201,1998-03-10,09:25:00,gate 2,22039,{000000D7-0000-0000-0000000000000000},BSDG,60,2,FALSE
202,1998-03-17,06:50:00,gate 2,14274,{000000D8-0000-0000-0000000000000000},BSDO,52,1,FALSE
202,1998-03-17,06:50:00,gate 2,14274,{000000D8-0000-0000-0000000000000000},BSDO,52,1,FALSE
202,1998-03-17,18:18:00,gate 2,14274,{000000D8-0000-0000-0000000000000000},BSDO,53,2,FALSE
202,1998-03-17,18:18:00,gate 2,14274,{000000D8-0000-0000-0000000000000000},BSDO,53,2,FALSE
205,1998-04-21,08:51:00,gate 2,14946,{000000D8-0000-0000-0000000000000000},BSDO,56,1,FALSE
205,1998-04-21,08:51:00,gate 2,14946,{000000D8-0000-0000-0000000000000000},BSDO,56,1,FALSE
205,1998-04-22,09:01:00,gate 2,14944,{000000D8-0000-0000-0000000000000000},BSDO,57,1,FALSE
205,1998-04-22,09:01:00,gate 2,14944,{000000D8-0000-0000-0000000000000000},BSDO,57,1,FALSE
206,1998-04-28,09:15:00,gate 2,14216,{000000D8-0000-0000-0000000000000000},BSDO,58,1,FALSE
206,1998-04-28,09:15:00,gate 2,14216,{000000D8-0000-0000-0000000000000000},BSDO,58,1,FALSE
206,1998-04-29,09:09:00,gate 2,14254,{000000D8-0000-0000-0000000000000000},BSDO,60,2,FALSE
206,1998-04-29,09:09:00,gate 2,14254,{000000D8-0000-0000-0000000000000000},BSDO,60,2,FALSE
301,1998-05-08,09:13:00,gate 2,14514,{000000A1-0000-0000-0000000000000000},B,54,1,FALSE
301,1998-05-08,09:13:00,gate 2,14514,{000000A1-0000-0000-0000000000000000},B,54,1,FALSE
5,1998-12-17,07:46:00,gate 2,17500,{000000A1-0000-0000-0000000000000000},B,55,2,FALSE
5,1998-12-17,07:46:00,gate 2,17500,{000000A1-0000-0000-0000000000000000},B,55,2,FALSE
6,1998-12-21,08:41:00,gate 2,12978,{000000A1-0000-0000-0000000000000000},B,56,2,FALSE
6,1998-12-21,08:41:00,gate 2,12978,{000000A1-0000-0000-0000000000000000},B,56,2,FALSE
7,1998-12-29,08:51:00,gate 2,8934,{000000A1-0000-0000-0000000000000000},B,57,3,FALSE
7,1998-12-29,08:51:00,gate 2,8934,{000000A1-0000-0000-0000000000000000},B,57,3,FALSE
8,1999-01-05,09:32:00,gate 2,7612,{000000A1-0000-0000-0000000000000000},B,59,1,FALSE
8,1999-01-05,09:32:00,gate 2,7612,{000000A1-0000-0000-0000000000000000},B,59,1,FALSE
8,1999-01-06,09:44:00,gate 2,7607,{000000A1-0000-0000-0000000000000000},B,60,2,FALSE
8,1999-01-06,09:44:00,gate 2,7607,{000000A1-0000-0000-0000000000000000},B,60,2,FALSE
8,1999-01-07,08:57:00,gate 2,7611,{000000A1-0000-0000-0000000000000000},B,66,1,FALSE
8,1999-01-07,08:57:00,gate 2,7611,{000000A1-0000-0000-0000000000000000},B,66,1,FALSE
9,1999-01-09,08:41:00,gate 2,7546,{00000036-0000-0000-0000000000000000},BSDG,55,1,FALSE
9,1999-01-09,08:41:00,gate 2,7546,{00000036-0000-0000-0000000000000000},BSDG,55,1,FALSE
9,1999-01-10,08:43:00,gate 2,7402,{00000036-0000-0000-0000000000000000},BSDG,57,1,FALSE
9,1999-01-10,08:43:00,gate 2,7402,{00000036-0000-0000-0000000000000000},BSDG,57,1,FALSE
10,1999-01-13,09:26:00,gate 2,7500,{00000036-0000-0000-0000000000000000},BSDG,58,1,FALSE
10,1999-01-13,09:26:00,gate 2,7500,{00000036-0000-0000-0000000000000000},BSDG,58,1,FALSE
10,1999-01-13,09:26:00,gate 2,7500,{00000036-0000-0000-0000000000000000},BSDG,59,1,FALSE
10,1999-01-13,09:26:00,gate 2,7500,{00000036-0000-0000-0000000000000000},BSDG,59,1,FALSE
10,1999-01-14,08:56:00,gate 2,7499,{00000037-0000-0000-0000000000000000},BSDO,54,1,FALSE
10,1999-01-14,08:56:00,gate 2,7499,{00000037-0000-0000-0000000000000000},BSDO,54,1,FALSE
11,1999-01-28,08:46:00,gate 2,15364,{00000037-0000-0000-0000000000000000},BSDO,55,1,FALSE
11,1999-01-28,08:46:00,gate 2,15364,{00000037-0000-0000-0000000000000000},BSDO,55,1,FALSE
12,1999-02-02,07:25:00,gate 2,9980,{00000037-0000-0000-0000000000000000},BSDO,56,1,FALSE
12,1999-02-02,07:25:00,gate 2,9980,{00000037-0000-0000-0000000000000000},BSDO,56,1,FALSE
12,1999-02-02,07:25:00,gate 2,9980,{00000037-0000-0000-0000000000000000},BSDO,57,2,FALSE
12,1999-02-02,07:25:00,gate 2,9980,{00000037-0000-0000-0000000000000000},BSDO,57,2,FALSE
12,1999-02-03,07:26:00,gate 2,10035,{00000037-0000-0000-0000000000000000},BSDO,58,2,FALSE
12,1999-02-03,07:26:00,gate 2,10035,{00000037-0000-0000-0000000000000000},BSDO,58,2,FALSE
13,1999-03-24,05:58:00,gate 2,11242,{00000037-0000-0000-0000000000000000},BSDO,59,2,FALSE
13,1999-03-24,05:58:00,gate 2,11242,{00000037-0000-0000-0000000000000000},BSDO,59,2,FALSE
208,1999-04-06,08:42:00,gate 2,10540,{00000037-0000-0000-0000000000000000},BSDO,60,7,FALSE
208,1999-04-06,08:42:00,gate 2,10540,{00000037-0000-0000-0000000000000000},BSDO,60,7,FALSE
208,1999-04-08,08:52:00,gate 2,9417,{00000037-0000-0000-0000000000000000},BSDO,61,1,FALSE
208,1999-04-08,08:52:00,gate 2,9417,{00000037-0000-0000-0000000000000000},BSDO,61,1,FALSE
14,1999-04-11,08:42:00,gate 2,14215,{00000037-0000-0000-0000000000000000},BSDO,62,2,FALSE
14,1999-04-11,08:42:00,gate 2,14215,{00000037-0000-0000-0000000000000000},BSDO,62,2,FALSE
302,1999-04-26,09:04:00,gate 2,11593,{00000037-0000-0000-0000000000000000},BSDO,63,1,FALSE
302,1999-04-26,09:04:00,gate 2,11593,{00000037-0000-0000-0000000000000000},BSDO,63,1,FALSE
303,1999-05-04,09:32:00,gate 2,12768,{00000037-0000-0000-0000000000000000},BSDO,64,1,FALSE
303,1999-05-04,09:32:00,gate 2,12768,{00000037-0000-0000-0000000000000000},BSDO,64,1,FALSE
